t X Y Z
  0.000000    1.000000    0.000000    0.000000
  0.120000    0.887617    0.016448    0.297250
  0.240000    0.791447    0.060220    0.587539
  0.360000    0.712327    0.124415    0.869458
  0.480000    0.650318    0.204188    1.142621
  0.600000    0.605103    0.296526    1.406613
  0.720000    0.576087    0.400295    1.661379
  0.840000    0.562752    0.515771    1.906174
  0.960000    0.564731    0.644581    2.139805
  1.080000    0.581940    0.789450    2.360214
  1.200000    0.614704    0.954301    2.564609
  1.320000    0.663775    1.143761    2.748552
  1.440000    0.730397    1.363192    2.905856
  1.560000    0.816301    1.618281    3.027845
  1.680000    0.923656    1.914371    3.102515
  1.800000    1.054912    2.255238    3.113559
  1.920000    1.212485    2.640964    3.039469
  2.040000    1.398152    3.064514    2.853186
  2.160000    1.611956    3.506544    2.523524
  2.280000    1.851031    3.929839    2.019159
  2.400000    2.106897    4.272702    1.319963
  2.520000    2.364033    4.450308    0.432321
  2.640000    2.597935    4.367110   -0.587923
  2.760000    2.777245    3.949423   -1.625799
  2.880000    2.868932    3.189806   -2.518432
  3.000000    2.848385    2.174534   -3.108845
  3.120000    2.708436    1.068623   -3.309064
  3.240000    2.462674    0.049176   -3.137434
  3.360000    2.140951   -0.758999   -2.696735
  3.480000    1.778615   -1.314973   -2.117207
  3.600000    1.408109   -1.643249   -1.508303
  3.720000    1.052638   -1.801407   -0.936859
  3.840000    0.726435   -1.850557   -0.433052
  3.960000    0.435312   -1.841562   -0.002121
  4.080000    0.179534   -1.811081    0.362229
  4.200000   -0.043773   -1.783479    0.669241
  4.320000   -0.239647   -1.773872    0.927685
  4.440000   -0.413853   -1.791183    1.143515
  4.560000   -0.572053   -1.840194    1.319238
  4.680000   -0.719845   -1.922909    1.454540
  4.800000   -0.862226   -2.039150    1.546205
  4.920000   -1.003538   -2.186698    1.588561
  5.040000   -1.147086   -2.360613    1.573875
  5.160000   -1.295213   -2.552801    1.493155
  5.280000   -1.448798   -2.750741    1.337268
  5.400000   -1.606955   -2.936573    1.098830
  5.520000   -1.766350   -3.086446    0.775602
  5.640000   -1.921249   -3.172027    0.373723
  5.760000   -2.063162   -3.163624   -0.088089
  5.880000   -2.181430   -3.036555   -0.576403
  6.000000   -2.264509   -2.779198   -1.044985
  6.120000   -2.301899   -2.400719   -1.441211
  6.240000   -2.286719   -1.932634   -1.718961
  6.360000   -2.217481   -1.423656   -1.849745
  6.480000   -2.098736   -0.927433   -1.829505
  6.600000   -1.940402   -0.490047   -1.676945
  6.720000   -1.755377   -0.139872   -1.424838
  6.840000   -1.557256    0.113416   -1.109368
  6.960000   -1.358189    0.275285   -0.761821
  7.080000   -1.168023    0.359955   -0.405300
  7.200000   -0.993382    0.385094   -0.053616
  7.320000   -0.838244    0.367630    0.286288
  7.440000   -0.704317    0.321799    0.612278
  7.560000   -0.591853    0.258572    0.924435
  7.680000   -0.499865    0.185649    1.224419
  7.800000   -0.426826    0.107983    1.514035
  7.920000   -0.370956    0.028295    1.794901
  8.040000   -0.330457   -0.052468    2.068377
  8.160000   -0.303751   -0.134618    2.335056
  8.280000   -0.289498   -0.219637    2.595439
  8.400000   -0.286740   -0.309873    2.849521
  8.520000   -0.294943   -0.408486    3.096842
  8.639999   -0.314037   -0.519450    3.336487
  8.760000   -0.344472   -0.647684    3.566973
  8.880000   -0.387218   -0.798957    3.785667
  9.000000   -0.443896   -0.980380    3.988956
  9.120000   -0.516811   -1.200353    4.171221
  9.240000   -0.609038   -1.468679    4.324036
  9.360000   -0.724484   -1.796352    4.434736
  9.480000   -0.867891   -2.194734    4.484488
  9.599999   -1.044681   -2.673521    4.445689
  9.719999   -1.260471   -3.236459    4.279036
  9.840000   -1.520080   -3.873639    3.931164
  9.960000   -1.824895   -4.547236    3.336972
 10.080000   -2.169807   -5.175142    2.430335
 10.200000   -2.537442   -5.614385    1.174751
 10.320000   -2.892958   -5.667699   -0.383803
 10.440000   -3.182415   -5.142015   -2.060344
 10.559999   -3.341959   -3.966422   -3.530064
 10.679999   -3.319615   -2.299805   -4.445221
 10.800000   -3.099885   -0.501824   -4.626982
 10.920000   -2.713079    1.050047   -4.165979
 11.040000   -2.219750    2.149649   -3.334270
 11.160000   -1.684870    2.793593   -2.412004
 11.280000   -1.158666    3.095896   -1.581711
 11.400000   -0.670857    3.191628   -0.920839
 11.520000   -0.233984    3.186470   -0.440319
 11.639999    0.150454    3.146202   -0.122411
 11.759999    0.486576    3.103831    0.057113
 11.880000    0.780494    3.069857    0.120064
 12.000000    1.037590    3.040624    0.084342
 12.120000    3.441272    3.669134    0.899815
 12.240000    3.475564    3.731664   -0.357022
 12.360000    3.483223    3.283137   -1.526841
 12.480000    3.413884    2.418440   -2.394156
 12.600000    3.239769    1.335089   -2.814988
 12.720000    2.961837    0.268859   -2.775138
 12.840000    2.604934   -0.600071   -2.380796
 12.960000    2.205727   -1.194965   -1.789168
 13.080000    1.799788   -1.530668   -1.138997
 13.200000    1.413802   -1.669855   -0.518039
 13.320000    1.063560   -1.683967    0.034577
 13.440000    0.755564   -1.632705    0.511432
 13.559999    0.489810   -1.558718    0.920362
 13.680000    0.262287   -1.489687    1.273854
 13.800000    0.067226   -1.442682    1.583029
 13.920000   -0.102254   -1.427840    1.856390
 14.040000   -0.253064   -1.451346    2.098718
 14.160000   -0.391897   -1.517269    2.311346
 14.280000   -0.525091   -1.628671    2.492332
 14.400000   -0.658562   -1.788100    2.636453
 14.520000   -0.797895   -1.997619    2.735009
 14.639999   -0.948028   -2.257764    2.775214
 14.760000   -1.113514   -2.566731    2.739942
